290.641	324.188	-69.6247	231.491	64.8969	39.9947	216.113	11.2823	76.1354	
272.36	324.99	-149.791	59.4697	331.037	-271.626	8.94607	310.271	-358.51	
224.258	300.401	-126.276	-0.534985	262.24	-237.941	-66.3655	243.567	-291.701	
240.175	281.496	-194.427	222.752	78.0897	-64.9168	210.137	-58.938	14.2009	
247.391	283.187	-183.543	228.384	74.412	-63.5202	212.153	16.8058	-24.7788	
265.685	261.546	-187.171	269.896	58.8555	-57.4508	281.531	-74.3119	23.7319	
301.224	242.15	-105.758	430.249	87.7878	31.7018	460.869	54.3514	60.6856	
356.88	333.757	-134.911	547.841	325.536	-47.4482	628.487	295.406	0.440359	
409.651	391.58	-179.411	640.832	440.717	-99.8037	718.904	460.482	-82.2916	
388.782	407.121	-217.754	615.278	483.644	-145.148	723.88	515.757	-113.307	
385.42	409.112	-226.84	609.154	487.742	-152.94	718.619	517.406	-119.907	
385.703	410.702	-227.776	607.965	489.725	-152.703	721.497	513.265	-114.896	
385.328	410.607	-226.916	607.01	489.343	-151.58	703.592	508.193	-118.001	
423.62	440.696	-214.383	633.045	501.411	-134.814	716.196	512.46	-105.419	
386.556	417.699	-222.867	606.505	495.842	-143.696	699.056	515.55	-116.702	
383.693	413.482	-223.423	603.021	494.36	-146.015	698.314	512.031	-114.852	
385.553	405.875	-224.53	605.398	487.645	-150.349	698.942	504.485	-115.199	
382.587	405.658	-226.334	602.567	486.398	-152.117	699.487	500.198	-115.702	
380.948	403.356	-228.594	600.986	482.948	-154.645	696.868	498.173	-119.227	
382.124	401.612	-228.372	601.466	482.736	-155.338	699.265	494.61	-120.535	
382.721	401.371	-228.4	601.667	482.415	-155.306	699.766	495.07	-120.519	
383.344	400.441	-229.109	601.879	481.795	-156.316	698.347	495.38	-120.05	
385.32	399.141	-228.696	603.333	480.764	-155.918	701.29	494.707	-118.399	
384.658	398.969	-228.84	602.246	480.718	-155.705	698.33	494.747	-120.417	
384.803	399.363	-227.987	601.864	481.52	-154.931	697.803	495.306	-120.217	
384.493	399.816	-226.947	601.388	481.703	-154.029	698.058	495.466	-117.321	
383.94	399.799	-226.937	600.677	481.361	-154.104	698.355	496.52	-115.441	
382.99	399.583	-227.377	599.1	480.644	-153.225	694.672	496.133	-114.992	
