-95.960122	-268.349376	-139.315859	-231.586456	-52.805757	-53.813495	
-274.870554	-296.513746	-120.517550	-232.160085	-48.986642	-57.780091	
-238.280062	-268.895970	-110.878598	-220.091144	-48.904611	-53.069874	
-144.344028	-229.667650	-104.208533	-253.698744	-46.420318	-54.784739	
-116.571608	-220.120539	-97.665419	-205.001758	-44.433903	-50.356085	
-142.996631	-218.571182	-96.576748	-246.134703	-46.041489	-53.416886	
-217.823156	-192.214952	-72.901335	-184.859969	-47.273545	-50.475876	
-168.295003	-83.534928	-49.732767	-134.859146	-43.841885	-42.518550	
-180.350355	-99.366492	-40.674872	-154.613903	-48.016579	-47.922165	
-164.318441	-38.431986	-39.974226	-127.611313	-46.642613	-42.114478	
-163.095072	-36.656044	-41.149600	-125.990064	-47.045847	-42.101003	
-167.799290	-39.740703	-42.900119	-125.511581	-48.383643	-42.744536	
-154.522986	-29.848159	-42.124824	-125.550793	-44.492080	-41.618291	
-132.397580	-79.656323	-43.221088	-150.111823	-47.821141	-47.787108	
-149.078318	-35.202414	-42.869919	-126.184578	-44.899077	-43.982299	
-151.218675	-30.968998	-43.450973	-122.860152	-44.646813	-42.713945	
-156.001598	-30.112897	-42.801818	-124.659910	-44.125242	-41.416989	
-156.715913	-29.520633	-43.944958	-123.496615	-44.447748	-41.458761	
-157.081655	-29.416795	-43.488876	-123.689946	-44.286320	-41.197923	
-156.201507	-30.371660	-45.551445	-123.843415	-44.470410	-41.915971	
-155.963571	-30.106403	-45.378296	-123.853446	-44.539412	-41.843784	
-156.858006	-29.648246	-44.724994	-124.303873	-44.385765	-41.385072	
-157.685254	-29.842067	-44.937445	-124.841384	-44.677790	-41.311871	
-155.582855	-29.950412	-45.141359	-124.529619	-44.390797	-41.574323	
-154.752471	-30.196958	-45.325073	-124.119188	-44.382693	-41.741376	
-156.231226	-29.875649	-44.834160	-123.644973	-44.510357	-41.396933	
-158.204745	-29.758863	-44.098878	-123.410295	-44.777559	-40.941307	
