-3040.642729	-450.410478	-511.021861	-358.587480	-90.766157	-229.698769	-108.630994	-141.056432	-33.002620	-649.584758	-754.002303	-183.713058	-189.913846	-36.294939	-39.640191	
-2965.659303	-452.126616	-501.665794	-354.622686	-90.169067	-230.913486	-109.147899	-131.939318	-32.940368	-664.014257	-756.755850	-185.944149	-190.758170	-36.120478	-39.618892	
-2963.474764	-443.747909	-502.031128	-351.717096	-88.486420	-226.380440	-108.109299	-133.698596	-32.724806	-654.420633	-752.423106	-183.777429	-189.449468	-36.171101	-39.522234	
-2915.095395	-432.148142	-496.050964	-343.373724	-85.156066	-223.395405	-107.962321	-133.532209	-32.969415	-640.549200	-739.290028	-177.316167	-188.152405	-35.903773	-39.442458	
-2651.846126	-405.326839	-465.052537	-309.136034	-77.973216	-215.233599	-107.635391	-125.179311	-32.810339	-605.261419	-692.752077	-159.971778	-181.968530	-35.602580	-39.053898	
-2445.396677	-385.549275	-437.578724	-283.672403	-73.123300	-207.975546	-106.235263	-117.962559	-32.610301	-581.099362	-655.789540	-147.935486	-176.251424	-35.229254	-38.678428	
-2114.284043	-364.085315	-396.658924	-245.537134	-66.973531	-199.953474	-108.684624	-104.659867	-33.091879	-547.870053	-603.019832	-130.668710	-170.623070	-34.808592	-38.436703	
-1450.643157	-337.148821	-310.950110	-177.276672	-59.925480	-193.077881	-110.180675	-78.683214	-33.444666	-509.943733	-505.050313	-106.683361	-157.837900	-34.370108	-37.630627	
-351.830970	-353.844982	-122.724640	-74.585969	-62.459374	-191.939214	-124.282719	-42.548086	-39.908438	-446.796061	-274.332959	-71.899599	-120.693254	-33.536458	-35.474328	
-132.840166	-481.458933	-46.406343	-61.088551	-110.831633	-223.309385	-180.802453	-53.011648	-66.385574	-416.218671	-140.330952	-71.785840	-92.598596	-32.802430	-35.678482	
-983.548094	-700.319691	-89.900636	-246.812374	-222.422516	-299.323363	-268.702243	-155.972503	-113.727976	-513.857996	-255.227526	-137.509629	-91.668674	-32.786695	-40.196050	
-2659.732566	-861.148017	-237.366781	-478.362441	-298.919028	-362.095661	-323.108553	-326.634926	-155.683914	-571.072781	-423.549962	-209.998487	-91.808358	-34.173005	-43.678804	
-3065.218393	-905.264320	-284.744069	-532.163052	-315.393287	-378.172770	-337.087734	-364.156482	-164.404417	-603.017487	-472.451376	-233.919608	-94.067712	-34.966921	-44.441573	
-177.185788	-516.107724	-34.532193	-97.807852	-138.037341	-225.117571	-209.135062	-48.255297	-67.835125	-484.000128	-182.991873	-95.195986	-107.012424	-33.996675	-34.242374	
-98.026100	-388.754558	-28.563576	-52.191367	-92.416493	-182.129992	-163.395948	-48.150004	-57.448835	-337.425152	-104.480443	-59.388799	-87.759632	-33.401216	-30.577374	
